,,PlusMinus,PlusMinus,GameID,Seconds
,,mean,std,count,mean
player,HomeAway,,,,
Lonzo Ball,Home,2.64,15.296731677060954,25,576.72
Lorenzo Brown,Away,0.875,9.642724866817618,8,158.375
Lorenzo Brown,Home,1.5555555555555556,8.03291838485726,9,144.33333333333334
Lucas Nogueira,Away,-0.6538461538461539,9.094799866703204,26,159.76923076923077
Lucas Nogueira,Home,2.5,7.9158069708653205,26,140.80769230769232
Luis Montero,Away,-1.0,,1,125.0
Luis Montero,Home,-4.0,,1,13.0
Luke Babbitt,Away,-1.5384615384615385,8.011146081458104,26,282.03846153846155
Luke Babbitt,Home,0.391304347826087,7.177864524385702,23,252.47826086956522
Luke Kennard,Away,0.47058823529411764,10.427920836716545,34,352.52941176470586
Luke Kennard,Home,1.8333333333333333,10.078265156832726,36,376.52777777777777
Luke Kornet,Away,-1.5454545454545454,8.250619811427944,11,264.27272727272725
Luke Kornet,Home,-8.375,11.648881000827014,8,365.875
Luol Deng,Home,-7.0,,1,195.0
Malachi Richardson,Away,-12.0,,1,114.0
Malcolm Brogdon,Away,-3.869565217391304,10.817932703811286,23,591.1304347826087
Malcolm Brogdon,Home,0.7037037037037037,10.53862790227827,27,564.8888888888889
Malcolm Delaney,Away,-4.875,11.109386943520763,24,339.5416666666667
Malcolm Delaney,Home,-1.2222222222222223,9.966610925150702,27,329.3703703703704
Malcolm Miller,Away,0.75,3.955105199973465,8,122.5
Malcolm Miller,Home,0.14285714285714285,5.520524474738834,7,189.71428571428572
Malik Monk,Away,-3.0357142857142856,7.890369858754184,28,244.25
Malik Monk,Home,-2.962962962962963,8.308852931484408,27,261.85185185185185
